1 0.000000 2.730375
2 0.000000 5.144695
4 0.000000 10.191083
8 0.000000 20.915033
16 0.000000 40.125392
32 0.000000 73.563218
64 0.000000 147.126437
128 0.000000 280.547945
256 0.000000 555.013550
512 0.000000 1039.593909
1024 0.000001 1845.045045
2048 0.000001 2600.634921
3072 0.000001 3114.828897
4096 0.000001 3632.815965
5120 0.000001 4192.425793
6144 0.000001 4342.049470
7168 0.000002 4235.155096
8192 0.000002 3150.769231
9216 0.000002 4428.108108
10240 0.000002 4659.840728
11264 0.000002 4659.358842
12288 0.000002 4873.772930
13312 0.000003 4930.370370
14336 0.000003 5099.510894
15360 0.000003 5086.092715
16384 0.000003 5207.469209
32768 0.000005 5835.796972
65536 0.000010 6316.722892
131072 0.000018 7076.366581
262144 0.000034 7423.809692
524288 0.000062 8066.434602
1048576 0.000115 8719.151015
2097152 0.000209 9591.365196
4194304 0.000403 9919.628218
8388608 0.000814 9832.771772
16777216 0.002205 7256.518542
33554432 0.005452 5869.798562
67108864 0.010898 5872.450894
134217728 0.021786 5875.293686
268435456 0.043644 5865.663051
536870912 0.087376 5859.739066
